100000 100000
50254 42924 409847
99419 96607 877722
25776 17550 494273
6025 974 969350
20053 16773 309238
20822 1214 637501
89303 51862 976792
17955 11363 637416
91469 87579 388921
69177 33933 353151
79052 74702 461911
56959 18153 427591
36532 4815 82272
6269 6085 923126
21590 21009 589282
54852 29336 919160
59954 7401 501605
92767 83371 837253
87510 42068 981835
57086 26191 705729
80706 48083 548469
98499 86968 926786
30649 6265 277458
50994 7414 654590
50974 15663 414432
21442 3683 893482
58470 44913 14131
25890 16062 589581
90841 2891 342573
31777 22274 870873
40528 18638 862565
89818 24059 944571
10275 1540 663069
62248 52518 881401
71438 69286 360630
89433 72107 766295
28070 9850 615725
31870 6159 264830
84779 74651 287758
31374 2504 92649
25850 13281 965541
45116 38006 7009
9037 3757 515577
95223 63413 270689
21145 19030 43237
90203 9771 658380
5301 367 170814
47683 10963 197036
19145 4581 770911
7263 5991 251925
59068 47059 733566
54311 49681 850694
7616 7206 900961
39352 28332 184023
1955 1018 254489
95586 18618 935871
73240 15735 969857
76758 6014 734269
84067 40628 156983
46926 38834 331747
36517 396 69751
91754 51520 981497
57078 15356 476021
28761 9804 93201
74865 51549 713626
79782 5579 113563
34605 33147 508195
16360 1748 179568
78255 77790 135434
17766 582 723739
93565 88960 102134
42635 8797 189754
65663 56865 802937
24940 948 947153
13129 2 36621
51540 9720 358641
23684 2420 586372
71966 71952 236381
25554 10660 659769
62019 59443 246273
77245 34396 444762
74211 32673 695640
60250 43514 984945
54581 3905 353773
8180 5536 748221
19558 8281 992081
80751 22234 581754
63738 43077 295683
40187 5711 268279
96966 58253 873414
93480 66470 524611
52409 14480 731433
41518 9013 97525
7792 985 810433
50903 5639 233323
82385 47943 132237
63595 10574 990013
93930 29609 854677
43744 8363 817058
99060 75521 723294
46399 18909 149725
66699 40717 668493
55194 15555 724414
2143 1158 420237
25732 20911 185801
23719 17915 560666
33164 13743 563544
67339 12269 173138
34690 19410 291145
15178 14858 909455
79562 62212 881906
79386 2222 914661
14511 13589 625835
51097 42587 664761
48106 35975 909165
78187 49841 291951
49480 17063 862767
39856 4725 267323
40432 12085 444097
90090 82466 205485
22935 12381 549755
90285 63090 677331
8154 4524 717073
2879 43 327367
65389 63708 698065
4972 1577 353795
58646 25974 341929
58068 5136 138578
75707 40611 509821
72593 38693 655937
55651 9707 306782
58507 18187 23843
17830 6908 452787
37086 21962 748928
5231 2615 130973
15339 9634 3003
81731 12813 325809
36620 4849 384941
10642 3773 302629
98193 49949 513591
17397 6103 615311
68528 52122 848945
46601 36609 326533
962 303 461018
64732 44774 516841
88323 57621 652597
85085 50023 250613
79774 71605 457105
38972 5734 139553
28983 5455 952467
48514 7452 459917
6914 5998 812513
39521 30525 876461
89237 44866 271655
