100000 100000
10610 2686 927297
88613 11317 950679
52052 39459 926548
99733 79689 904562
40244 34208 387759
74371 67313 391865
89373 30991 286801
31246 4693 125859
98977 66975 625564
75119 14936 218012
74476 9370 66687
48676 11984 603153
89411 4963 934418
20061 14933 892354
9668 786 979729
37567 29111 583451
39068 3865 803874
41505 12349 989633
72788 3696 438413
57974 31610 591039
74954 35700 509557
7209 440 714597
55446 20744 132307
64906 47657 236265
85495 50633 237419
27497 9857 135491
61468 44721 358897
48697 23509 445634
70784 35349 593253
43255 36676 750121
59325 35433 141205
61512 41856 97360
32873 14341 623361
41381 13179 791313
76055 40379 86412
12473 9320 734497
94639 34657 667617
7532 2943 711577
22100 1305 964138
34378 21029 73534
61215 8967 367089
52287 44381 294081
68539 23387 495062
29843 7765 889938
91757 28757 973725
26385 25937 80001
59806 26815 510417
20614 9256 333569
67190 36556 225037
35410 8930 694553
73919 34228 139420
2486 1598 207848
43691 2441 691249
59774 55038 472003
90757 49345 171525
41286 9253 148421
19065 13449 855378
25710 9653 220972
87360 38756 163955
51472 18446 646041
7268 106 869482
95089 27863 572430
60255 11133 740355
55106 35878 547587
25308 17137 907361
18117 5637 896353
96969 61829 410421
57460 54530 196683
40364 37771 908345
23189 21981 754329
3921 687 826362
57072 7147 971865
93385 92213 470807
29713 9588 253977
98810 52559 804415
64296 62201 548682
39091 23877 769200
12625 2080 759593
15174 12654 66041
32701 19653 341221
80692 68590 921987
23158 5813 523036
15539 14765 1573
27907 10909 727984
45331 21406 183565
10204 8544 3517
26455 17683 814849
76632 48907 613169
62664 24467 922901
40796 7438 629394
53602 7935 956068
60726 16641 588668
98214 90803 855329
54645 28135 498185
84055 41530 23082
89943 6891 884513
29896 26513 782691
47379 24133 371465
58621 43767 7425
4509 3197 85377
23097 7652 440256
93490 77700 545064
57214 7070 753409
77436 54215 591960
97469 27972 868403
75760 54544 829549
33461 18630 442494
47284 33940 390855
66251 44041 753235
29992 4008 262081
19621 4819 841544
86949 83877 261647
61908 15757 489590
1190 282 224797
14895 10699 603101
71681 67982 635565
69789 33780 255681
39682 39313 161551
4919 3132 406135
77710 39481 784928
89428 11513 571024
3315 1654 637329
66339 35526 116873
72247 31288 844820
24652 5695 744071
65824 3540 591369
50733 40165 723265
37186 32725 822433
23723 1843 890886
99920 48969 540424
53103 24847 299877
83264 58795 806723
23800 15931 419889
59707 48173 769945
50582 33863 861157
589 274 277473
86228 66595 734940
26759 10733 516593
71719 21064 225465
22751 4175 38063
80751 10495 495653
60267 57625 212713
75585 32811 65089
18986 5236 546414
73410 69452 977611
85320 3332 899135
62352 60659 793501
26739 3038 678633
86039 51311 747961
49647 18189 53611
23748 1642 107355
21637 10209 726386
3532 2896 927721
59543 59231 948059
18923 1462 262530
15401 4143 714723
29785 1198 9067
7227 25 486130
72746 16303 273731
13042 1931 415821
90210 89794 532513
83080 14803 109140
13049 8379 269661
89150 73132 491317
41298 14243 802253
68424 44127 401817
21938 17678 255415
46843 43580 968305
29108 21213 121408
39537 12013 849124
68889 49713 184114
82554 16642 927953
68578 65933 244641
52757 52215 730459
27757 22393 939085
21342 17536 733783
67309 48414 55097
8582 1232 159457
92345 66090 580609
45824 19228 248474
26331 22339 657480
84249 44590 538699
86141 56967 233965
53918 43387 98605
